customer_id,spend,avg_income,age_group,city,gender,spend_ratio
ATQCUS0001,124887.0,49767.0,21-24,Mumbai,Male,2.509433962264151
ATQCUS0002,122503.0,47336.0,21-24,Mumbai,Male,2.5879457495352374
ATQCUS0003,129122.0,48851.0,21-24,Mumbai,Male,2.6431802829010667
ATQCUS0004,130910.0,45425.0,21-24,Mumbai,Male,2.88189323059989
ATQCUS0005,111215.0,46732.0,21-24,Mumbai,Male,2.379846785928272
ATQCUS0006,147453.0,50620.0,21-24,Mumbai,Male,2.9129395495851442
ATQCUS0007,132746.0,48756.0,21-24,Mumbai,Male,2.722659775207154
ATQCUS0008,121131.0,46854.0,21-24,Mumbai,Male,2.5852862082212833
ATQCUS0009,131181.0,47879.0,21-24,Mumbai,Male,2.7398441905637125
ATQCUS0010,130898.0,49465.0,21-24,Mumbai,Male,2.6462751440412413
ATQCUS0011,129574.0,45444.0,21-24,Mumbai,Male,2.851289499163806
ATQCUS0012,131968.0,47586.0,21-24,Mumbai,Male,2.773252637330307
ATQCUS0013,118697.0,46713.0,21-24,Mumbai,Male,2.5409843084366237
ATQCUS0014,63532.0,29477.0,21-24,Mumbai,Male,2.155307527903111
ATQCUS0015,77086.0,32195.0,21-24,Mumbai,Male,2.394346948283895
ATQCUS0016,76635.0,32211.0,21-24,Mumbai,Male,2.379156188879575
ATQCUS0017,69207.0,29195.0,21-24,Mumbai,Male,2.370508648741223
ATQCUS0018,70601.0,29931.0,21-24,Mumbai,Male,2.3587918880090877
ATQCUS0019,69139.0,29782.0,21-24,Mumbai,Male,2.3215029212275873
ATQCUS0020,69968.0,31079.0,21-24,Mumbai,Male,2.2512950867145016
ATQCUS0021,73485.0,28332.0,21-24,Mumbai,Male,2.593710292249047
ATQCUS0022,73611.0,29100.0,21-24,Mumbai,Male,2.5295876288659795
ATQCUS0023,104707.0,55473.0,21-24,Mumbai,Male,1.887530870874119
ATQCUS0024,98090.0,56568.0,21-24,Mumbai,Male,1.7340192334888984
ATQCUS0025,96957.0,52696.0,21-24,Mumbai,Male,1.8399309245483528
ATQCUS0026,97740.0,51916.0,21-24,Mumbai,Male,1.8826565991216582
ATQCUS0027,81915.0,53003.0,21-24,Mumbai,Male,1.5454785578174821
ATQCUS0028,87922.0,53116.0,21-24,Mumbai,Male,1.6552827773175691
ATQCUS0029,102268.0,54613.0,21-24,Mumbai,Male,1.8725944372219068
ATQCUS0030,67215.0,27632.0,21-24,Mumbai,Male,2.432505790387956
ATQCUS0031,64960.0,28246.0,21-24,Mumbai,Male,2.299794661190965
ATQCUS0032,68237.0,26083.0,21-24,Mumbai,Male,2.616148449181459
ATQCUS0033,58993.0,26592.0,21-24,Mumbai,Male,2.218449157641396
ATQCUS0034,65931.0,25807.0,21-24,Mumbai,Male,2.5547719610958266
ATQCUS0035,75722.0,28673.0,21-24,Mumbai,Male,2.640881665678513
ATQCUS0036,63618.0,27073.0,21-24,Mumbai,Male,2.349868873046947
ATQCUS0037,64147.0,41125.0,21-24,Mumbai,Male,1.55980547112462
ATQCUS0038,67305.0,39967.0,21-24,Mumbai,Male,1.684014311807241
ATQCUS0039,64440.0,39166.0,21-24,Mumbai,Male,1.6453046009293775
ATQCUS0040,58123.0,38958.0,21-24,Mumbai,Male,1.49194003798963
ATQCUS0041,110302.0,47439.0,21-24,Delhi NCR,Male,2.325133329117393
ATQCUS0042,140996.0,49981.0,21-24,Delhi NCR,Male,2.8209919769512415
ATQCUS0043,128732.0,45573.0,21-24,Delhi NCR,Male,2.824742720470454
ATQCUS0044,118879.0,50557.0,21-24,Delhi NCR,Male,2.3513855648080386
ATQCUS0045,113799.0,51033.0,21-24,Delhi NCR,Male,2.2299100581976368
ATQCUS0046,118066.0,47945.0,21-24,Delhi NCR,Male,2.4625299822713527
ATQCUS0047,109758.0,47053.0,21-24,Delhi NCR,Male,2.332646164962914
ATQCUS0048,116799.0,47406.0,21-24,Delhi NCR,Male,2.4638020503733706
ATQCUS0049,65272.0,30364.0,21-24,Delhi NCR,Male,2.1496509023844026
ATQCUS0050,76795.0,31771.0,21-24,Delhi NCR,Male,2.417141418274527
ATQCUS0051,60737.0,28169.0,21-24,Delhi NCR,Male,2.156164578082289
ATQCUS0052,80477.0,56133.0,21-24,Delhi NCR,Male,1.4336842855361374
ATQCUS0053,82914.0,53186.0,21-24,Delhi NCR,Male,1.5589440830293686
ATQCUS0054,73784.0,53064.0,21-24,Delhi NCR,Male,1.3904718830091964
ATQCUS0055,68718.0,51203.0,21-24,Delhi NCR,Male,1.3420698005976213
ATQCUS0056,79356.0,52570.0,21-24,Delhi NCR,Male,1.5095301502758227
ATQCUS0057,57949.0,25614.0,21-24,Delhi NCR,Male,2.2623955649254315
ATQCUS0058,58019.0,26415.0,21-24,Delhi NCR,Male,2.1964414158621994
ATQCUS0059,58561.0,25583.0,21-24,Delhi NCR,Male,2.289059140835711
ATQCUS0060,47858.0,39705.0,21-24,Delhi NCR,Male,1.2053393779121018
ATQCUS0061,59666.0,42142.0,21-24,Delhi NCR,Male,1.4158321864173509
ATQCUS0062,55374.0,38866.0,21-24,Delhi NCR,Male,1.4247414192353214
ATQCUS0063,129429.0,47988.0,21-24,Bengaluru,Male,2.697111777944486
ATQCUS0064,108280.0,48173.0,21-24,Bengaluru,Male,2.247732132107197
ATQCUS0065,122288.0,48698.0,21-24,Bengaluru,Male,2.511150355250729
ATQCUS0066,111936.0,47732.0,21-24,Bengaluru,Male,2.3450934383642
ATQCUS0067,110305.0,48165.0,21-24,Bengaluru,Male,2.290148448043185
ATQCUS0068,122260.0,49228.0,21-24,Bengaluru,Male,2.483545949459657
ATQCUS0069,102531.0,46756.0,21-24,Bengaluru,Male,2.1928950295149288
ATQCUS0070,49857.0,29945.0,21-24,Bengaluru,Male,1.6649524127567206
ATQCUS0071,53710.0,29797.0,21-24,Bengaluru,Male,1.8025304560861832
ATQCUS0072,61624.0,32159.0,21-24,Bengaluru,Male,1.9162287384557977
ATQCUS0073,55203.0,30173.0,21-24,Bengaluru,Male,1.8295495973221092
ATQCUS0074,88260.0,56272.0,21-24,Bengaluru,Male,1.5684532271822575
ATQCUS0075,76211.0,49549.0,21-24,Bengaluru,Male,1.5380936043108842
ATQCUS0076,87029.0,52745.0,21-24,Bengaluru,Male,1.6499952602142383
ATQCUS0077,78848.0,57469.0,21-24,Bengaluru,Male,1.3720092571647322
ATQCUS0078,55885.0,26296.0,21-24,Bengaluru,Male,2.125228171585032
ATQCUS0079,63644.0,28630.0,21-24,Bengaluru,Male,2.2229828850855746
ATQCUS0080,54740.0,26939.0,21-24,Bengaluru,Male,2.0319982181966667
ATQCUS0081,52857.0,26626.0,21-24,Bengaluru,Male,1.9851648764365657
ATQCUS0082,49709.0,25301.0,21-24,Bengaluru,Male,1.964704952373424
ATQCUS0083,55065.0,28776.0,21-24,Bengaluru,Male,1.9135738115095913
ATQCUS0084,56633.0,27110.0,21-24,Bengaluru,Male,2.0890077462191075
ATQCUS0085,55876.0,41857.0,21-24,Bengaluru,Male,1.3349260577681152
ATQCUS0086,64304.0,42092.0,21-24,Bengaluru,Male,1.5277012258861542
ATQCUS0087,90792.0,49918.0,21-24,Chennai,Male,1.8188228695059898
ATQCUS0088,75529.0,46705.0,21-24,Chennai,Male,1.6171501980516005
ATQCUS0089,85752.0,48116.0,21-24,Chennai,Male,1.7821930335023692
ATQCUS0090,76956.0,45218.0,21-24,Chennai,Male,1.7018886284223096
ATQCUS0091,78420.0,49735.0,21-24,Chennai,Male,1.5767568110988237
ATQCUS0092,80900.0,46704.0,21-24,Chennai,Male,1.7321856800274067
ATQCUS0093,37515.0,29431.0,21-24,Chennai,Male,1.2746763616594747
ATQCUS0094,43746.0,31053.0,21-24,Chennai,Male,1.4087527775094193
ATQCUS0095,38171.0,29244.0,21-24,Chennai,Male,1.305259198468062
ATQCUS0096,39148.0,30586.0,21-24,Chennai,Male,1.279931995030406
ATQCUS0097,37344.0,30755.0,21-24,Chennai,Male,1.2142415867338645
ATQCUS0098,38071.0,29030.0,21-24,Chennai,Male,1.3114364450568377
ATQCUS0099,62256.0,52836.0,21-24,Chennai,Male,1.1782875312287078
ATQCUS0100,60565.0,57354.0,21-24,Chennai,Male,1.0559856330857482
